year,dayofyear,hourmin,ws,wd
2017,155,320,3.607,261.7
2017,155,330,3.706,265.4
2017,155,340,3.622,274.1
2017,155,350,3.596,277.4
2017,155,400,3.169,280.4
2017,155,410,2.869,284.1
2017,155,420,2.728,279.5
2017,155,430,2.719,273.2
2017,155,440,2.399,271.6
2017,155,450,2.45,266.4
2017,155,500,2.658,263.9
2017,155,510,2.739,264.2
2017,155,520,2.879,267.2
2017,155,530,3.242,269.2
2017,155,540,3.039,277.4
2017,155,550,3.108,280.1
2017,155,600,2.848,291.2
2017,155,610,3.279,294.4
2017,155,620,3.197,294.1
2017,155,630,3.056,296.9
2017,155,640,3.045,292.1
2017,155,650,3.699,288.1
2017,155,700,3.913,296
2017,155,710,3.691,282.8
2017,155,720,3.919,284
2017,155,730,3.55,288
2017,155,740,3.261,285.5
2017,155,750,3.641,296.9
2017,155,800,3.814,299.4
2017,155,810,4.588,308
2017,155,820,4.287,305.2
2017,155,830,3.994,301.3
2017,155,840,4.169,308.3
2017,155,850,4.466,311.6
2017,155,900,3.991,303.9
2017,155,910,4.724,307.5
2017,155,920,3.925,304.1
2017,155,930,4.564,308.7
2017,155,940,3.763,300.4
2017,155,950,4.509,289.5
2017,155,1000,4.188,290.5
2017,155,1010,3.944,298.6
2017,155,1020,3.813,293.6
2017,155,1030,3.919,303.5
2017,155,1040,4.774,310.1
2017,155,1050,4.952,311.2
2017,155,1100,4.61,302.3
2017,155,1110,4.185,291.9
2017,155,1120,4.874,288.3
2017,155,1130,5.191,289.3
2017,155,1140,5.234,283.3
2017,155,1150,5.26,283.4
2017,155,1200,5.239,284.1
2017,155,1210,4.903,292.4
2017,155,1220,5.146,290.2
2017,155,1230,5.322,294.9
2017,155,1240,5.903,290.8
2017,155,1250,5.471,291.2
2017,155,1300,5.019,289.2
2017,155,1310,4.506,287.6
2017,155,1320,4.067,284.1
2017,155,1330,4.527,287.1
2017,155,1340,4.142,294.8
2017,155,1350,4.359,283.2
2017,155,1400,4.163,287.2
2017,155,1410,3.661,290.8
2017,155,1420,4.865,275.1
2017,155,1430,4.83,277.8
2017,155,1440,5.151,279.9
2017,155,1450,4.689,280.7
2017,155,1500,5.007,269
2017,155,1510,4.536,284.6
2017,155,1520,4.096,288.2
2017,155,1530,3.443,287.7
2017,155,1540,3.811,280.4
2017,155,1550,3.885,275
2017,155,1600,3.657,277
2017,155,1610,3.256,282.5
2017,155,1620,3.212,284.4
2017,155,1630,3.264,275.9
2017,155,1640,3.473,277.8
2017,155,1650,3.991,285.4
2017,155,1700,3.733,288.1
2017,155,1710,3.751,270.6
2017,155,1720,3.339,272.2
2017,155,1730,3.836,252.2
2017,155,1740,3.913,268.7
2017,155,1750,3.005,265.9
2017,155,1800,3.414,263.9
2017,155,1810,3.277,271.5
2017,155,1820,3.661,281
2017,155,1830,3.39,265.6
2017,155,1840,2.546,264
2017,155,1850,2.582,252.1
2017,155,1900,3.389,264.3
2017,155,1910,4.204,263.8
2017,155,1920,4.195,267.1
2017,155,1930,3.505,264.4
2017,155,1940,3.72,265.8
2017,155,1950,3.32,273.7
2017,155,2000,2.886,268.7
2017,155,2010,3.449,271
2017,155,2020,3.354,269.8
2017,155,2030,3.117,258.3
2017,155,2040,3.924,276.3
2017,155,2050,3.756,268.2
2017,155,2100,3.399,269.9
2017,155,2110,3.141,284.3
2017,155,2120,3.833,276.2
2017,155,2130,2.889,271.4
2017,155,2140,2.451,259.1
2017,155,2150,2.643,276.4
2017,155,2200,2.667,272.8
2017,155,2210,2.622,271.4
2017,155,2220,2.722,258.4
2017,155,2230,2.94,263.7
2017,155,2240,2.637,259.7
2017,155,2250,2.68,257.8
2017,155,2300,2.306,260
2017,155,2310,2.345,264.3
2017,155,2320,2.277,259.5
2017,155,2330,1.957,262.4
2017,155,2340,2.191,253.9
2017,155,2350,1.797,264
2017,156,0,1.501,247.1
2017,156,10,1.175,227.8
2017,156,20,1.113,206.8
2017,156,30,1.384,209.7
2017,156,40,1.801,234.4
2017,156,50,2.305,249.5
2017,156,100,1.894,246.9
2017,156,110,2.575,259.5
2017,156,120,3.059,262.7
2017,156,130,3.164,258
2017,156,140,2.735,250.4
2017,156,150,3.491,261
2017,156,200,3.532,266
2017,156,210,3.462,274.8
2017,156,220,3.774,281
2017,156,230,3.55,284.2
2017,156,240,3.622,288.1
2017,156,250,3.49,288.5
2017,156,300,2.567,287.6
2017,156,310,2.653,290.3
2017,156,320,2.186,292.8
2017,156,330,2.199,292.5
2017,156,340,2.482,288.3
2017,156,350,2.029,287.9
2017,156,400,2.065,293.5
2017,156,410,2.13,302.8
2017,156,420,1.934,298.7
2017,156,430,2.248,304.3
2017,156,440,2.889,317.8
2017,156,450,2.178,298.8
2017,156,500,2.35,300.4
2017,156,510,2.082,289.1
2017,156,520,2.037,301.1
2017,156,530,2.004,304.1
2017,156,540,1.882,294.7
2017,156,550,2.667,308.1
2017,156,600,2.318,279.1
2017,156,610,2.295,294.2
2017,156,620,2.337,291.7
2017,156,630,2.984,292.2
2017,156,640,2.745,275.1
2017,156,650,2.384,296.2
2017,156,700,2.824,296.5
2017,156,710,2.376,294.4
2017,156,720,2.359,306.8
2017,156,730,1.804,325.2
2017,156,740,1.262,326.5
2017,156,750,1.414,331.4
2017,156,800,1.704,339.9
2017,156,810,2.932,344.4
2017,156,820,3.32,340.1
2017,156,830,3.137,345.6
2017,156,840,4.013,340.9
2017,156,850,4.768,331.8
2017,156,900,3.6,318.3
2017,156,910,4.177,312.5
2017,156,920,4.428,314.9
2017,156,930,4.387,301.7
2017,156,940,4.336,283.4
2017,156,950,4.956,293.6
2017,156,1000,4.787,288.7
2017,156,1010,4.605,297.2
2017,156,1020,4.02,297.8
2017,156,1030,4.108,304.9
2017,156,1040,3.869,307.7
2017,156,1050,3.873,305.6
2017,156,1100,4.315,303.4
2017,156,1110,4.549,299.8
2017,156,1120,4.6,295.9
2017,156,1130,4.978,305.3
2017,156,1140,5.197,300.4
2017,156,1150,4.856,296.2
2017,156,1200,4.957,296.8
2017,156,1210,5.092,299.6
2017,156,1220,4.99,293.1
2017,156,1230,4.561,286.5
