Case,Description,Pycno Depth,M2 Period,M2 Amp,M2 Phase,M2 Phase After Spinup Correction& U-Eta Lag,K1 Period,K1 Amp,K1 Phase,K1 Phase After Spinup Correction& U-Eta Lag,Wind Period,Wind Speed,Wind Phase,Wind Phase After Spinup Correction
12171,NewSet-M2-Wind Lag-Mild,12.5,12.4,0.056,0,90,23.9,0,0,36,24,3,0,312
12172,NewSet-M2-Wind Lag-Mild,12.5,12.4,0.056,0,90,23.9,0,0,36,24,3,30,342
12173,NewSet-M2-Wind Lag-Mild,12.5,12.4,0.056,0,90,23.9,0,0,36,24,3,60,12
12174,NewSet-M2-Wind Lag-Mild,12.5,12.4,0.056,0,90,23.9,0,0,36,24,3,90,42
12175,NewSet-M2-Wind Lag-Mild,12.5,12.4,0.056,0,90,23.9,0,0,36,24,3,120,72
12176,NewSet-M2-Wind Lag-Mild,12.5,12.4,0.056,0,90,23.9,0,0,36,24,3,150,102
12177,NewSet-M2-Wind Lag-Mild,12.5,12.4,0.056,0,90,23.9,0,0,36,24,3,174,126
12178,NewSet-M2-Wind Lag-Severe,12.5,12.4,0.056,0,90,23.9,0,0,36,24,6,0,312
12179,NewSet-M2-Wind Lag-Severe,12.5,12.4,0.056,0,90,23.9,0,0,36,24,6,30,342
12180,NewSet-M2-Wind Lag-Severe,12.5,12.4,0.056,0,90,23.9,0,0,36,24,6,60,12
12181,NewSet-M2-Wind Lag-Severe,12.5,12.4,0.056,0,90,23.9,0,0,36,24,6,90,42
12182,NewSet-M2-Wind Lag-Severe,12.5,12.4,0.056,0,90,23.9,0,0,36,24,6,120,72
12183,NewSet-M2-Wind Lag-Severe,12.5,12.4,0.056,0,90,23.9,0,0,36,24,6,150,102
12184,NewSet-M2-Wind Lag-Severe,12.5,12.4,0.056,0,90,23.9,0,0,36,24,6,174,126
12185,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,0,312
12186,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,30,342
12187,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,60,12
12188,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,90,42
12189,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,120,72
12190,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,150,102
12191,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,180,132
12192,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,210,162
12193,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,240,192
12194,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,270,222
12195,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,300,252
12196,NewSet-K1-Wind-Lag-Mild,12.5,12.4,0,0,90,23.9,0.022,0,36,24,3,330,282
12197,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,0,312
12198,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,30,342
12199,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,60,12
12200,NewSet-K1-Wind-Lag-severe,12.5,12.4,0,0,90,23.9,0.022,0,36,24,6,90,42
